Trip_ID,medallion, hack_license, vendor_id, rate_code, passenger_count, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_time,pickup_date,dropoff_time,dropoff_date,trip_time
8440,8C6CFF1ED34957DCF1547C3C38EE0490,45E179FC7D8C80F3115C19E9DC41BAF7,VTS,1,1,1.89,40.768608,-73.981857,40.787441,-73.975288,15,26-05-2013,15,26-05-2013,7
8441,146A8AB21CF866E722DE7CB2DBFE34DA,F6A917A26966388E10E4AB4AFF04775E,VTS,1,1,0.63,0,0,0,0,15,26-05-2013,15,26-05-2013,4
8442,9B04FD537919FB639CAA8FE21E3BAD3A,5C8B292A042D1FC904297C5D6EB8E3F9,VTS,1,1,0.63,-73.972885,40.795338,-73.9785,40.787651,7,22-05-2013,8,22-05-2013,3
8443,A9319237ADA66C0771D92C5815D084EA,15753A290AF814BE4552DE6EA2C9DED5,VTS,1,1,1.73,-73.954567,40.763962,-73.994514,40.764118,21,22-05-2013,22,22-05-2013,12
8444,738407C1675276927925C186F19C2DEE,D45E17F605D3BA057FB24B94616B7845,VTS,1,1,1.14,40.788258,-73.976387,40.802029,-73.969704,17,23-05-2013,17,23-05-2013,9
8445,86A19BDB2054A5DC34ADC453DA36DFD3,9ABB138785153D38A598076B39B6332F,VTS,1,1,0.89,40.749836,-73.99884,40.744282,-73.988617,8,24-05-2013,8,24-05-2013,10
8446,9D256AAB27E676C8A9BD5651606D44A4,AAB8A9FBE9CF2DDCB146CC6EFEDD772F,VTS,1,3,7.28,-73.99633,40.743698,-73.909622,40.778782,23,26-05-2013,23,26-05-2013,25
8447,2E1AF4AEC025F19B231A0B90CB0DC1E2,B388E707833DB641429B59FF56BD9591,VTS,1,1,4.57,-73.862839,40.769222,-73.911125,40.775848,15,26-05-2013,15,26-05-2013,11
8448,DBAF284EF89F854D07472F4B76893898,F1ACE57B5763A864EFC5A42AA2D1BDAD,VTS,1,5,1.69,-73.973434,40.755405,-73.993446,40.761402,15,26-05-2013,15,26-05-2013,12
8449,9B2F0CF7472D7072BE7B6C593ADC06E6,AA7DE37B1D94EC47FE1060CD0F90913A,VTS,1,1,0.18,-73.961357,40.770126,-73.980858,40.757954,9,22-05-2013,10,22-05-2013,15
8450,32E36E1130AC3018CE5A3B0BD5E70FDF,8C90BF2A814DC709DCC9AD86C557A800,VTS,1,1,6.22,-73.977234,40.754078,-74.015388,40.709427,11,23-05-2013,11,23-05-2013,18
8451,B0B39A24031CFBFACCAFC9B905E6FBC3,D53EB16B85EB24D1E44CD719ABDE2A4B,VTS,1,1,0.49,40.717682,-73.991028,40.721161,-73.985939,15,23-05-2013,16,23-05-2013,4
8452,89B0A25FA6399DEDA8417DA806B93F90,E81AAC9F6475427F9CD6E96426CF26B9,VTS,1,3,0.76,-73.957611,40.76572,-73.953217,40.774387,23,26-05-2013,23,26-05-2013,1
8453,6E25957F0AE0AAA6EDB6F7114E3034E7,204C0D7432E905397FA07A13EA3387AD,VTS,1,5,4.08,40.784481,-73.952049,40.740864,-73.991631,9,23-05-2013,10,23-05-2013,35
8454,349FFE57F0D74B12129036B397356B12,F9355DCFB70076D90D2056BC72E55620,VTS,1,2,0.43,-73.95945,40.771214,-73.958298,40.768711,20,24-05-2013,20,24-05-2013,2
8455,00E67F2CAC914F384C9803F02C7F85D9,75403EC47D9101C5004955879A82E363,VTS,1,2,0.94,-73.988708,40.758202,-73.990311,40.751156,23,26-05-2013,0,27-05-2013,10
8456,795BE9DB7A9E84649C204B654DC2607A,FD137570AA6B0554FABF87C62F2A9514,VTS,1,1,1.93,-73.978081,40.766438,-73.957779,40.782658,2,24-05-2013,2,24-05-2013,5
8457,0E8E3201DCA085A0C37AB1F423CFDAF4,074217B6DD197E76B56ED0FCB7C49356,VTS,1,1,1.69,-73.988022,40.745796,-73.992332,40.725746,11,22-05-2013,11,22-05-2013,12
8458,180A298786862EA121A8DEC5F20C3CAB,B02C7A599FA4D87CDF54396AD52495E0,VTS,1,1,3.25,-73.981468,40.746113,-73.951241,40.785831,20,26-05-2013,20,26-05-2013,13
8459,542FCE0CBD73675E9B0E3022B5B75E3E,2B82703C4CB042FBF7FAD87410C841B9,VTS,1,3,0.61,-73.974442,40.753475,-73.977196,40.747875,0,21-05-2013,0,21-05-2013,4
8460,E47D041AF1769274B740525CCA286F34,B949F4A35DE9BA0CB1B2698E17F55B29,VTS,1,1,1.43,-73.988251,40.750259,-73.969719,40.753727,10,25-05-2013,10,25-05-2013,7
8461,01389E9CF7758ECAC205EE26B2DD542A,AE5FB5DA59B0BFB43E4094DA21511F64,VTS,1,2,0.72,-73.950546,40.770988,-73.957954,40.763638,19,22-05-2013,19,22-05-2013,3
8462,8C78581373B43912B1D8E5F7152E9454,D39EA4C0D9B0198FD1081F5EB9AE06D7,VTS,1,1,4.63,40.711224,-74.016136,40.758427,-73.981674,7,23-05-2013,8,23-05-2013,25
8463,48A106A9E7294473EEF9C7C2259771FE,3F86C9DA518FE0D19514863A51DA6652,VTS,1,1,0.75,-73.977448,40.762062,-73.988487,40.764095,22,24-05-2013,22,24-05-2013,7
8464,D529DFD0658B7C6DC1E1E2969C65FB96,F916896384356A6B9C615C0C9951B756,VTS,1,1,4.31,-73.862984,40.768757,-73.921692,40.761139,22,26-05-2013,22,26-05-2013,13
8465,DCFAA3645CC36135EF181AA18C03A791,60AB66BC7D2CAE99ACF047343EE94AF9,VTS,1,1,2.54,40.766064,-73.990822,40.765965,-73.955154,10,24-05-2013,11,24-05-2013,22
8466,F07E8A597F1DF9BB32803DC3D5CB0DC5,76372F076D5A6B5E34131B2CD53B4163,VTS,1,1,3.92,-73.962959,40.777908,-73.990974,40.729603,13,23-05-2013,14,23-05-2013,35
8467,D1CAA58A231479ECF97D078BDE66F903,B677280A776D7FB5B36904B8E21B4CAB,VTS,1,6,7.2,-73.874954,40.774006,-73.96431,40.765263,13,24-05-2013,13,24-05-2013,30
8468,947B4DA4F0336ABED7D14ABDD86EA3C0,2EABA36BDBF68C3866FC7921C2EE0217,VTS,1,5,0.83,40.716003,-74.010834,40.722931,-74.004829,21,21-05-2013,21,21-05-2013,4
8469,7236332B089BD36523EDD29345CA6574,B8E7F13D7811C680D1FDCAB80AC3A007,VTS,1,6,4.29,-74.005684,40.737934,-73.965515,40.711086,11,25-05-2013,12,25-05-2013,21
8470,20B235B80E6D5CACBADBE8BA2DB0D359,7630F6BAD49378062A60E0101941DB29,VTS,1,5,1.11,40.758228,-73.986252,40.757256,-73.982391,19,24-05-2013,19,24-05-2013,17
8471,40F989B896905A07369E78270E0493D8,876C5AC15DFE3A3DF7FFA49C1F3CBDA4,VTS,2,1,16.31,40.76292,-73.969231,40.644314,-73.782257,11,22-05-2013,11,22-05-2013,27
8472,6DFFB181BDDA9971FD2BBC638B4BBD4B,E7AE89148DDE3D1E3E07E991B95DB550,VTS,1,1,2.09,40.783779,-73.979004,40.76202,-73.977585,8,24-05-2013,9,24-05-2013,11
8473,230FBEE57EBAF0D85F5F13DFDD66B181,7A792AA2A3CCD86DBA2C42012D7A6B0C,VTS,1,1,10.03,-73.86322,40.769917,-73.990913,40.73624,21,23-05-2013,21,23-05-2013,21
8474,0AF3E5BE2C7E0D065807031EC98BC930,5C673B8F411FCFD3F5BABECA3114AFB9,VTS,1,1,4.26,-73.986168,40.746407,-73.998032,40.713776,20,25-05-2013,21,25-05-2013,17
8475,4138664DFDC7A66798F29EEAC8A9A157,F59284D215946AEBEFACDE383E674F75,VTS,1,1,3.85,40.727993,-73.993011,40.695297,-73.983177,20,22-05-2013,21,22-05-2013,25
8476,D9C9C3E2FAE6142B2F14F04DCC4F2870,603475916FC3CA3694B7CE4618854E06,VTS,1,2,1.7,40.754242,-73.995865,40.773369,-73.988602,22,22-05-2013,22,22-05-2013,10
8477,D63A42D31C88B8DCB9BDC7BD896F6DA8,EF5AFE9267CCB47DD6BA274CFE8A92C8,VTS,1,3,3.14,-73.965637,40.760376,-74.004555,40.752178,0,22-05-2013,0,22-05-2013,18
8478,80393A581AAE36837B842327B621A12B,EC9B3F94FF5A3FD096B3B6980C8320C0,VTS,1,1,2.28,-73.967018,40.752899,-73.979622,40.771282,18,22-05-2013,18,22-05-2013,22
8479,29E861739FE244B49F85225D82938E1D,E0D16045589AB138352A0185FC21FBFC,VTS,1,5,2.74,-73.991348,40.738281,-73.96283,40.758816,0,25-05-2013,0,25-05-2013,9
8480,968C0B776745BC3BC3BF199F2D9D3E3B,4CB1C0003BD8B2ADE7B0ABE2CCEC228D,VTS,1,2,8.07,40.749916,-73.991692,40.839905,-73.94252,10,24-05-2013,10,24-05-2013,24
8481,D88EF58C55DB1B3E6E5510D367E7F555,7F544B8BAA2202F7E0864F7BEB0E8EA6,VTS,1,5,0.72,40.731884,-74.0009,40.740662,-73.994537,9,26-05-2013,9,26-05-2013,1
8482,AA7B4CA4CC55A100043C45715DA8AA1A,CD6D78264F025490F146F9BA09047D80,VTS,1,1,2.56,40.727066,-73.982758,40.75452,-73.977859,0,26-05-2013,0,26-05-2013,9
8483,7F0FEE5505F26A7F4435E693588EF88A,75A58B0B50EDABBDBB1010B68BD81F99,VTS,1,2,1.11,40.759521,-73.978462,40.749714,-73.984169,23,22-05-2013,23,22-05-2013,9
8484,9B04FD537919FB639CAA8FE21E3BAD3A,874B193996E7C845A2D1C9DD6F3A7DC5,VTS,1,1,7.11,-74.009644,40.703522,-73.974472,40.788273,21,22-05-2013,21,22-05-2013,23
8485,DBE23F76B0CFB37852DED82681BC2766,1C6B7B0658BF3BC9635EF8AEA37655D2,VTS,1,1,3.68,40.707108,-74.017159,40.737732,-73.989861,18,24-05-2013,18,24-05-2013,26
8486,14A45A1EAE619E175194F14EA4E65AC2,26AB9A69FABB719EFF511F5170984228,VTS,1,5,0.59,-73.981575,40.768532,-73.983971,40.761684,0,21-05-2013,0,21-05-2013,2
